iter	RMSE
326	5864.207224
327	5841.022527
328	5825.196898
329	5805.174679
330	5795.408035
331	5794.134069
332	5780.39706
333	5769.725154
334	5756.019154
335	5754.586155
336	5736.600443
337	5735.314491
338	5710.134879
339	5708.856929
340	5697.317037
341	5689.119847
342	5677.208967
343	5675.967503
344	5652.772359
345	5651.454006
346	5637.747602
347	5610.024366
348	5598.998108
349	5586.148631
350	5577.009035
351	5556.293121
352	5537.963192
353	5521.457764
354	5510.129447
355	5509.105183
356	5498.361493
357	5497.133356
358	5473.133163
359	5456.667165
360	5455.561303
361	5433.399981
362	5419.593653
363	5412.384054
364	5389.051692
365	5371.283807
366	5363.118077
367	5362.066098
368	5355.475817
369	5349.482558
370	5329.006172
371	5313.840655
372	5294.215099
373	5285.700294
374	5274.56148
375	5268.592162
376	5257.054731
377	5246.850748
378	5240.522965
379	5236.235503
380	5222.296583
381	5213.153345
382	5194.350122
383	5192.086366
384	5178.843786
385	5177.913442
386	5168.697405
387	5161.137593
388	5144.163777
389	5138.449987
390	5116.295029
391	5113.433069
392	5105.508775
393	5094.928978
394	5077.253858
395	5076.187062
396	5067.878045
397	5054.610478
398	5038.15281
399	5024.770088
400	5005.573297
401	4992.091375
402	4983.950354
403	4983.073849
404	4970.006163
405	4962.402725
406	4947.825401
407	4932.512303
408	4921.220825
409	4908.83354
410	4898.120148
411	4892.289876
412	4880.536095
413	4872.14398
414	4864.550468
415	4857.106325
416	4848.219421
417	4841.804155
418	4827.464859
419	4816.792109
420	4810.548296
421	4796.428063
422	4789.50865
423	4775.199179
424	4759.899896
425	4749.007135
426	4748.125915
427	4746.235922
428	4745.391881
429	4735.130368
430	4728.133616
431	4714.622063
432	4702.051219
433	4690.478656
434	4679.637206
435	4666.256559
436	4656.041782
437	4646.442332
438	4636.864538
439	4635.130438
440	4629.143039
441	4619.09592
442	4605.660771
443	4604.687908
444	4596.09238
445	4589.160364
446	4577.102503
447	4566.501472
448	4552.861384
449	4538.027748
450	4528.820746
451	4521.692578
452	4503.639048
453	4496.866237
454	4481.532154
455	4470.265443
456	4460.070479
457	4448.600875
458	4436.633072
459	4426.849334
460	4415.361314
461	4408.22757
462	4399.209129
463	4397.054725
464	4383.98957
465	4377.487096
466	4364.66347
467	4355.995209
468	4347.740593
469	4330.532939
470	4318.42021
471	4302.080557
472	4295.85091
473	4285.058111
474	4274.837989
475	4267.340985
476	4250.773318
477	4243.546216
478	4236.677826
479	4227.559741
480	4219.454723
481	4212.065306
482	4195.954071
483	4187.99771
484	4180.543053
485	4171.462803
486	4167.765433
487	4157.784668
488	4144.939412
489	4136.309177
490	4125.307121
491	4117.153928
492	4107.64392
493	4099.39154
494	4090.537076
495	4078.981035
496	4068.459958
497	4057.241605
498	4048.824358
499	4038.842797
500	4031.361764
501	4028.359062
502	4020.112292
503	4008.437539
504	4003.567243
505	3992.837424
506	3979.073162
507	3970.849053
508	3963.050679
509	3956.60177
510	3948.469209
511	3947.413449
512	3946.383626
513	3942.137027
514	3936.714633
515	3927.162742
516	3912.388018
517	3902.477182
518	3892.051921
519	3888.555839
520	3880.840689
521	3874.087001
522	3868.040398
523	3861.865667
524	3846.570725
525	3838.846551
526	3830.538638
527	3823.387433
528	3814.066782
529	3813.252616
530	3804.443523
531	3796.611647
532	3790.658629
533	3789.674932
534	3782.795959
535	3777.990052
536	3770.626937
537	3763.765379
538	3759.946052
539	3759.000568
540	3750.943201
541	3744.254372
542	3740.096439
543	3739.324959
544	3738.571063
545	3733.960796
546	3733.332904
547	3726.93205
548	3720.386754
549	3714.074494
550	3711.050585
551	3701.786233
552	3698.112889
553	3697.240971
554	3688.841941
555	3683.218169
556	3675.396188
557	3668.41904
558	3655.08335
559	3654.495691
560	3650.319998
561	3639.59749
562	3629.801692
563	3628.943634
564	3620.444846
565	3613.339725
566	3609.115775
567	3605.500815
568	3595.905558
569	3588.392174
570	3587.634548
571	3583.211603
572	3582.467966
573	3572.446561
574	3568.954967
575	3559.511006
576	3554.953955
577	3543.132784
578	3529.01062
579	3523.980926
580	3519.510339
581	3514.069382
582	3513.347611
583	3507.247085
584	3503.830712
585	3494.651808
586	3490.825527
587	3480.00856
588	3471.855391
589	3463.926391
590	3456.880072
591	3448.574199
592	3445.825746
593	3438.469604
594	3435.912539
595	3426.756254
596	3426.17502
597	3417.33471
598	3416.649591
599	3415.019795
600	3408.279124
601	3404.860515
602	3404.328894
603	3399.372704
604	3398.881679
605	3393.803919
606	3388.091465
607	3384.653396
608	3378.647304
609	3377.91912
610	3377.140769
611	3367.351922
612	3360.973809
613	3355.819731
614	3347.481821
615	3342.022541
616	3335.187304
617	3327.173823
618	3326.67197
619	3325.838641
620	3325.341653
621	3320.151843
622	3319.664898
623	3315.676912
624	3312.579476
625	3308.33952
626	3297.772161
627	3292.663785
628	3285.01482
629	3284.342765
630	3283.622353
631	3278.331146
632	3275.361825
633	3274.971774
634	3272.158456
635	3267.388683
636	3261.749908
637	3256.635923
638	3251.132996
639	3245.287999
640	3238.493609
641	3234.838958
642	3230.267207
643	3225.745103
644	3215.641401
645	3206.471295
646	3203.375148
647	3201.386201
648	3200.93423
649	3194.590435
650	3194.174731
651	3189.515734
652	3182.510095
653	3175.411363
654	3170.593914
655	3165.831842
656	3160.533157
657	3158.521238
658	3150.913715
659	3145.756027
660	3142.885622
661	3137.206697
662	3135.473813
663	3129.105113
664	3125.166695
665	3119.200278
666	3115.686152
667	3112.135769
668	3107.746821
669	3099.412431
670	3098.956953
671	3088.100829
672	3081.375567
673	3073.657682
674	3073.219499
675	3065.492183
676	3060.372714
677	3059.942724
678	3059.510156
679	3056.923341
680	3050.950922
681	3042.654699
682	3035.12984
683	3030.182254
684	3029.803148
685	3027.009929
686	3025.094847
687	3024.66717
688	3016.500907
689	3009.382719
690	3004.329827
691	2998.474968
692	2991.657121
693	2988.34674
694	2984.304929
695	2980.865427
696	2980.498326
697	2971.053383
698	2964.498322
699	2962.983973
700	2959.515325
701	2955.322564
702	2949.605997
703	2947.922941
704	2942.915139
705	2939.367727
706	2930.280309
707	2928.758707
708	2924.649411
709	2920.570411
710	2914.836241
711	2912.214251
712	2906.319614
713	2902.867756
714	2902.463913
715	2898.321016
716	2896.633584
717	2891.514353
718	2883.563643
719	2881.957732
720	2878.231935
721	2874.359231
722	2870.072514
723	2861.877074
724	2856.498569
725	2852.066787
726	2844.389882
727	2840.38961
728	2839.939958
729	2835.499984
730	2835.114835
731	2830.371713
732	2828.863145
733	2824.091969
734	2823.712076
735	2821.665619
736	2814.97013
737	2812.342119
738	2810.138174
739	2805.954264
740	2804.394576
741	2799.67485
742	2798.243514
743	2791.877647
744	2788.970673
745	2787.017385
746	2786.414797
747	2781.972328
748	2776.333747
749	2775.797296
750	2775.445848
751	2771.423044
752	2768.738259
753	2759.791225
754	2755.250943
755	2750.951635
756	2747.247355
757	2745.519951
758	2740.656719
759	2736.301978
760	2732.8726
761	2728.339225
762	2726.767162
763	2726.357539
764	2725.85782
765	2725.525169
766	2720.840807
767	2716.020087
768	2710.559987
769	2708.425763
770	2707.015084
771	2705.471485
772	2700.980644
773	2700.648177
774	2695.168034
775	2690.926685
776	2685.676749
777	2680.815309
778	2678.738959
779	2676.189858
780	2674.543687
781	2670.850471
782	2666.594967
783	2665.18192
784	2660.663074
785	2657.882614
786	2654.313417
787	2652.615188
788	2649.670582
789	2647.587
790	2645.041774
791	2639.708888
792	2637.038424
793	2633.052694
794	2627.75896
795	2624.773124
796	2622.138803
797	2619.973822
798	2617.165969
799	2611.673773
800	2605.265009
801	2602.804402
802	2599.859399
803	2598.401106
804	2597.18609
805	2591.964972
806	2588.703528
807	2587.444304
808	2584.872649
809	2582.401525
810	2582.009084
811	2581.492685
812	2580.402375
813	2574.70721
814	2568.68775
815	2568.34685
816	2566.500011
817	2562.512361
818	2559.638363
819	2554.517292
820	2553.576248
821	2550.015545
822	2547.945421
823	2547.585564
824	2545.796427
825	2544.751417
826	2539.443001
827	2538.4271
828	2537.497006
829	2535.771413
830	2530.999972
831	2529.740926
832	2527.335477
833	2526.041382
834	2525.620535
835	2525.211566
836	2524.786315
837	2524.461462
838	2523.869823
839	2520.293765
840	2518.360643
841	2512.742245
842	2512.359272
843	2506.80365
844	2505.258988
845	2499.586132
846	2497.158397
847	2496.81458
848	2493.120909
849	2487.648454
850	2484.572731
851	2483.541529
852	2479.859583
853	2476.877614
854	2476.398986
855	2473.288295
856	2470.385509
857	2466.811982
858	2461.567618
859	2455.358797
860	2453.989007
861	2451.049315
862	2447.238492
863	2444.793547
864	2442.032222
865	2436.811608
866	2434.179618
867	2428.263241
868	2425.034924
869	2422.226378
870	2419.186594
871	2414.73093
872	2411.882113
873	2411.439476
874	2407.800763
875	2405.228483
876	2403.449031
877	2400.633515
878	2397.627514
879	2395.046926
880	2393.876071
881	2391.512281
882	2389.118067
883	2387.871586
884	2384.47778
885	2382.380829
886	2374.527544
887	2371.66129
888	2369.796023
889	2366.652512
890	2364.434745
891	2362.961029
892	2361.00242
893	2360.770531
894	2357.138319
895	2353.017291
896	2351.347596
897	2351.061179
898	2347.428288
899	2344.066345
900	2341.867402
901	2337.60458
902	2334.795149
903	2329.964548
904	2329.449508
905	2325.05484
906	2323.784113
907	2321.240199
908	2320.887416
909	2318.228292
910	2316.317854
911	2314.170362
912	2309.96925
913	2306.968836
914	2303.817603
915	2302.982035
916	2301.417268
917	2300.359116
918	2300.039529
919	2298.396479
920	2292.877302
921	2288.188219
922	2287.964642
923	2285.126216
924	2281.6082
925	2276.859508
926	2274.911838
927	2274.710416
928	2273.04354
929	2272.671858
930	2271.038871
931	2268.704685
932	2265.110221
933	2264.818199
934	2262.206968
935	2257.560573
936	2254.103136
937	2252.392949
938	2249.71303
939	2247.631658
940	2243.921669
941	2243.530811
942	2239.126537
943	2238.86879
944	2236.376376
945	2232.571692
946	2229.646308
947	2228.981239
948	2226.995785
949	2222.387129
950	2220.108931
951	2219.880552
952	2216.666329
953	2216.267174
954	2211.33555
955	2208.795092
956	2208.59874
957	2206.799672
958	2206.001589
959	2205.701605
960	2202.400361
961	2200.802164
962	2196.707413
963	2192.914333
964	2189.944142
965	2189.332901
966	2189.141972
967	2184.334048
968	2183.557776
969	2181.392614
970	2178.988549
971	2177.086538
972	2174.607224
973	2173.705554
974	2170.417287
975	2165.716089
976	2163.484109
977	2162.512245
978	2157.663583
979	2155.964822
980	2154.861979
981	2153.241807
982	2148.844254
983	2147.93531
984	2144.921949
985	2142.075303
986	2138.420385
987	2135.108348
988	2134.769208
989	2134.586224
990	2134.404791
991	2132.379543
992	2130.39557
993	2127.362038
994	2125.577668
995	2121.332582
996	2120.418565
997	2116.833994
998	2112.412845
999	2110.022961
